OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587726877273489553,337.1540737,-9.76721723,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=337.154073681&dec=-9.7672172275,0.05451,0.91666669,0,-18.56473351,-20.27831459,-21.36471558,-21.58616638,10.55156136,9.17625237,0.84030324,4.76E-01,28.0228405,4.57E+14,7.40E-01
587729387673485413,127.5225976,43.75918968,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=127.522597569&dec=43.7591896841,0.0834672,0.81250948,0.06955623,-19.75787926,-21.48548508,-22.57709885,-22.79905891,11.03006935,6.70762205,0.79273081,2.20E-01,39.92586517,1.54E+14,7.35E-01
588015507665977412,16.45377297,-1.14931638,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=16.4537729739&dec=-1.14931638459,0.0648866,0.89615136,0.06909087,-19.39475441,-21.0859127,-22.21722031,-22.45797348,10.89962959,10.79205418,0.89853656,1.12E-01,2.64739132,1.24E+14,7.70E-01
587731511544381527,46.97924035,-0.94664602,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=46.9792403504&dec=-0.946646022105,0.0666509,0.87915033,0.10389951,-18.88377762,-20.50520515,-21.58326721,-21.84429932,10.63026142,5.00947237,0.67981499,-7.76E-01,67.19734192,1.71E+14,7.40E-01
587741707799036086,150.0824606,22.03743307,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=150.082460617&dec=22.0374330652,0.0826112,0.84137207,0.12726061,-19.41487503,-21.11042595,-22.23735809,-22.51473618,10.91281891,7.424716,0.89694518,-8.46E-01,-999,-9.99E+02,7.75E-01
588017702393282681,179.1972636,11.46280918,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=179.197263634&dec=11.4628091821,0.0481567,0.94924158,0.05075837,-19.06937027,-20.70517731,-21.80406952,-22.03263855,10.71995735,8.66501522,0.85665661,-1.06E+00,53.8909874,9.16E+13,7.50E-01
587732482203648070,154.6643877,44.71642932,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=154.664387713&dec=44.7164293242,0.0694209,0.92307699,0,-19.33580399,-20.97777367,-22.05975914,-22.49069595,10.86477757,13.87051964,0.73944366,-6.88E-01,18.89610672,6.57E+14,8.49E-01
588010359624106124,182.3218855,5.3186894,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=182.321885487&dec=5.31868940136,0.0750862,0.81970847,0.12371518,-18.84945107,-20.5890274,-21.69636154,-21.9548378,10.68015766,7.63304567,0.79957265,2.39E-01,1.32146931,2.61E+14,7.57E-01
587725551216754733,208.6770221,65.24431127,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=208.677022143&dec=65.2443112663,0.035783,0.90956932,0.05471551,-19.06752777,-20.76861763,-21.87793159,-22.10878563,10.74403286,12.33542442,0.69732422,-5.25E-01,46.08548355,1.31E+14,7.38E-01
588017947218280624,224.0946953,34.40477364,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=224.094695327&dec=34.4047736444,0.0789854,0.88973099,0.07587753,-19.4265995,-21.0613327,-22.17087173,-22.39183235,10.86176586,7.90468311,0.91865218,-2.08E-01,19.46470261,8.47E+14,7.45E-01
587742571076190310,173.634182,18.41793981,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=173.634181948&dec=18.4179398074,0.0831259,0.8009584,0.07712799,-18.26092339,-20.07615852,-21.26774788,-21.57753181,10.51228619,3.92530227,0.81287467,5.19E-01,-999,-9.99E+02,8.02E-01
587734950204014761,155.8701792,11.83554446,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=155.870179234&dec=11.8355444578,0.0662614,0.80679876,0.10786431,-18.70446396,-20.04299927,-21.10932541,-21.32234001,10.40803051,7.30824232,0.78119701,-6.82E-01,30.12923813,4.52E+14,7.27E-01
587732772668899452,188.957102,10.97161896,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=188.957101971&dec=10.9716189602,0.0844261,0.939394,0,-19.42391014,-21.0538044,-22.1379509,-22.40732384,10.8518362,6.49661493,0.73935521,-4.17E-01,7.717278,5.29E+14,7.40E-01
588298664654405670,208.1605708,46.34985467,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=208.160570749&dec=46.3498546689,0.06228,0.93023252,0,-20.63642502,-22.46043396,-23.66637421,-23.90927505,11.46767139,15.65079308,0.98133689,8.28E-01,0.04905377,2.63E+14,7.93E-01
588017627769602301,196.8684437,45.34961316,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=196.868443728&dec=45.3496131649,0.0511566,0.83259547,0.0507364,-17.88534737,-19.76167679,-20.89357185,-21.14305878,10.36345291,5.23271179,0.89133608,2.77E-01,47.94997025,5.37E+13,7.65E-01
587729970178949365,223.3537002,-2.78576853,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=223.353700159&dec=-2.78576853481,0.0749271,0.84848487,0,-18.73064995,-20.46285439,-21.52603912,-21.83034706,10.59592342,4.50717068,0.69527572,-7.80E-01,28.93586731,9.04E+13,7.31E-01
587722982812549238,177.1759569,-0.27874347,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=177.175956929&dec=-0.278743470845,0.0471611,0.89626461,0.0410201,-18.38511276,-20.13318443,-21.28243256,-21.5206604,10.51409054,7.82918501,0.95856029,-5.04E-01,34.65628433,9.16E+13,7.78E-01
587724199351091437,14.20062201,15.25442101,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=14.2006220091&dec=15.2544210053,0.0767771,0.86666667,0,-19.5978775,-21.36683846,-22.46312523,-22.75206566,10.9998188,8.31726837,0.8526479,1.14E+00,0.06076744,3.14E+13,7.40E-01
587741491451134213,182.739192,30.88142601,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=182.739191993&dec=30.881426006,0.0740084,0.88780642,0.04191243,-19.86475372,-22.09572601,-23.19350243,-23.41801834,11.29413605,18.19633484,0.90868831,1.31E+00,-999,-9.99E+02,7.30E-01
588010360691490829,167.6593599,5.93438299,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=167.659359856&dec=5.93438299167,0.0414661,0.88467598,0.08830373,-18.76663589,-20.47893715,-21.54576492,-21.75044441,10.56525517,11.10787106,0.70235234,-3.48E-01,20.49403191,1.12E+14,7.24E-01
587728308565180607,167.9144613,2.28277683,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=167.914461336&dec=2.28277683063,0.0848519,0.91055155,0.05654309,-18.35672569,-20.04153252,-21.10072899,-21.40441132,10.43112373,3.31246328,0.70457876,1.06E-01,1.76495123,3.07E+14,7.32E-01
587736914609635387,230.6644704,9.71193012,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=230.664470393&dec=9.71193011945,0.0545658,0.85048193,0.13312404,-18.61094284,-20.05408096,-20.87771797,-21.10517311,10.31083298,4.63524437,0.71447283,-7.35E-01,-999,-9.99E+02,5.87E-01
588848901002821819,217.4575425,0.66485057,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=217.457542473&dec=0.664850572129,0.0536731,0.81348598,0.12830043,-18.28491402,-19.8676815,-20.96552658,-21.21190262,10.38785076,6.04674339,0.98450667,1.26E-01,1.99019027,3.74E+13,7.50E-01
587739609169395810,198.6632107,31.9204024,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=198.663210668&dec=31.920402402,0.0470204,0.89181596,0.07490738,-18.09902763,-19.84266472,-20.98467827,-21.26845169,10.3968029,7.98183537,0.9169485,-7.35E-01,-999,-9.99E+02,7.70E-01
587725817497714849,233.6696741,57.62816806,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=233.669674129&dec=57.6281680592,0.0726917,0.91450024,0.04896254,-18.75349998,-20.81403351,-21.92312241,-22.25371361,10.79053211,6.73328781,0.61211652,3.95E-02,23.57800102,4.33E+13,7.50E-01
587725589308375175,257.7188296,63.65478538,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=257.718829644&dec=63.6547853811,0.0809921,0.9666667,0,-19.15966797,-20.82083702,-21.83074951,-22.10617638,10.72303009,7.63375759,0.83148164,6.74E-01,0.890499,1.58E+15,6.95E-01
588017627766325453,186.1152774,45.85717169,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=186.115277384&dec=45.85717169,0.0579605,0.88087404,0.08919962,-18.52051735,-20.16259766,-21.11942673,-21.32678604,10.43262672,6.73526955,0.89201188,-6.10E-01,23.22691154,3.01E+12,6.87E-01
588018254824865933,222.999111,46.75101751,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=222.999111032&dec=46.7510175083,0.074026,0.88834858,0.11165148,-19.6710701,-21.36953163,-22.51006889,-22.7102356,11.00893593,10.5969038,0.67894691,1.19E+00,0.09313925,3.29E+13,7.71E-01
