OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587730021726814389,239.9311217,3.644782,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=239.931121726&dec=3.64478199576,0.0543671,0,0.96153849,-20.10173607,-21.38407326,-21.83876991,-21.98023033,-22.15815544,10.59243011,14.51370716,0.79985124,-2.08E-01,15.9599247,5.43E+12,4.55E-01
588017979434860645,199.7056422,39.65625614,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=199.705642242&dec=39.6562561397,0.0736674,0.0483015,0.90094376,-18.86256027,-19.90392876,-20.43043709,-20.66245651,-20.76124573,9.99163151,5.76612997,0.39756221,-6.72E-01,7.01487255,5.76E+14,5.27E-01
587733605343887757,252.1476619,35.16089998,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=252.147661853&dec=35.1608999769,0.0818993,0.01241899,0.88636649,-19.10774422,-20.05937767,-20.34641647,-20.39276314,-20.43273735,9.81799889,6.65404177,0.84288102,-7.11E-01,16.78823662,1.02E+15,2.87E-01
587732483266380082,126.8127451,31.87814712,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=126.812745118&dec=31.87814712,0.0506412,0,0.96363628,-18.91207886,-19.84936333,-20.21354294,-20.32900047,-20.46856499,9.78147316,8.60671997,0.38117337,-5.82E-01,5.48495293,3.25E+14,3.64E-01
588017979449671946,237.8916105,27.37052795,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=237.891610522&dec=27.3705279507,0.0753456,0.0158874,0.98411256,-18.99837875,-20.51161385,-21.29027557,-21.69028091,-21.98081017,10.66291618,9.6678524,0.22596663,3.54E-02,5.41665506,3.73E+14,7.79E-01
587741532256010348,190.2342951,29.4655803,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=190.234295135&dec=29.4655803049,0.0311706,0,1,-19.28108406,-21.1135807,-21.62265968,-21.90657997,-22.05954742,10.7399025,26.07958794,0.28702033,-7.43E-01,-999,-9.99E+02,5.09E-01
587738196109754551,111.3491013,42.25683256,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=111.349101264&dec=42.2568325627,0.0593121,0.03588954,0.96411043,-18.3269558,-19.70659065,-20.27516556,-20.49592209,-20.61096764,10.16832829,7.3540659,0.37085226,3.71E-01,47.24863434,8.51E+13,5.69E-01
587729154668822671,166.8785079,63.70731432,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=166.878507879&dec=63.7073143217,0.0578487,0.03761009,0.96238989,-17.78511238,-19.41137695,-20.21394539,-20.64006996,-20.94370842,10.76349735,10.96509933,0.19330829,-8.73E-01,32.62963486,2.75E+13,8.03E-01
587736942526857396,235.5149574,28.86427897,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=235.514957436&dec=28.864278969,0.083059,0.06437094,0.91388249,-18.47190475,-20.11552238,-20.88742638,-21.2592411,-21.58013535,10.50706482,5.36430883,0.38433072,1.07E-02,10.04542065,4.11E+14,7.72E-01
587727221948350743,355.2138267,14.58855678,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=355.21382666&dec=14.5885567816,0.0682968,0,0.96875,-17.82842255,-19.78661156,-20.31941414,-20.47499657,-20.74830437,10.23224735,8.72848511,0.20256776,-1.84E-01,52.58476257,3.83E+13,5.33E-01
